#FOR THE FULL HISTORICAL DATA VISIT : https://ork.ad
time,open,high,low,close,volume
2024-07-03,130.496,130.996,130.209,130.761,12549
2024-07-04,130.761,130.771,130.509,130.544,6139
2024-07-05,130.544,131.121,130.439,131.064,12889
2024-07-08,131.064,131.376,130.719,131.265,10132
2024-07-09,131.265,131.265,130.759,131.019,9341
2024-07-10,131.019,131.531,131.019,131.34,9261
2024-07-11,131.34,132.07,131.029,131.744,14360
2024-07-12,131.744,131.841,131.349,131.809,10919
2024-07-15,131.809,132.081,131.429,131.864,10365
2024-07-16,131.864,132.559,131.864,132.525,10112
2024-07-17,132.525,132.641,132.236,132.529,9704
2024-07-18,132.529,132.711,132.141,132.279,10780
2024-07-19,132.279,132.521,131.909,132.054,8750
2024-07-22,132.054,132.27,131.599,131.791,8198
2024-07-23,131.791,132.379,131.699,132.169,8884
2024-07-24,132.169,132.649,131.899,131.904,12738
2024-07-25,131.904,132.89,131.904,132.371,14777
2024-07-26,132.371,132.869,132.071,132.681,11383
2024-07-29,132.681,133.341,132.681,133.204,9114
2024-07-30,133.204,133.581,133.044,133.419,12162
2024-07-31,133.419,134.04,133.419,134.034,15031
2024-08-01,134.034,134.53,133.761,134.295,16275
2024-08-02,134.295,135.455,134.295,135.212,29805
2024-08-05,135.212,136.271,134.859,135.197,57272
2024-08-06,135.197,135.562,134.589,134.696,30578
2024-08-07,134.696,134.821,133.92,134.181,21400
2024-08-08,134.181,134.701,133.954,134.179,19602
2024-08-09,134.179,134.681,134.17,134.53,11952
2024-08-12,134.53,134.671,134.26,134.579,11573
2024-08-13,134.579,135.062,134.451,134.961,12045
2024-08-14,134.961,135.15,134.539,134.906,13951
2024-08-15,134.906,135.052,134.069,134.225,12534
2024-08-16,134.225,134.636,134.129,134.36,10057
2024-08-19,134.36,134.605,134.07,134.204,8492
2024-08-20,134.204,134.665,134.08,134.631,9180
2024-08-21,134.631,134.971,134.464,134.781,13098
2024-08-22,134.781,135.042,134.089,134.209,12544
2024-08-23,134.209,134.571,134.059,134.466,12839
2024-08-26,134.466,134.641,134.019,134.215,10152
2024-08-27,134.215,134.269,133.645,133.926,10006
2024-08-28,133.926,134.371,133.879,133.989,9425
2024-08-29,133.989,134.476,133.784,133.926,11938
2024-08-30,133.926,134.171,133.481,133.559,11360
2024-09-02,133.559,133.559,133.149,133.3,6914
2024-09-03,133.3,134.111,133.199,134.01,12312
2024-09-04,134.01,134.699,134.01,134.639,13870
2024-09-05,134.639,134.761,134.301,134.645,21334
2024-09-06,134.645,134.8,133.999,134.15,23170
2024-09-09,134.15,134.601,133.779,134.54,10363
2024-09-10,134.54,135.021,134.359,134.871,12075
2024-09-11,134.871,135.472,134.669,135.147,16741
2024-09-12,135.147,135.331,134.561,134.696,17101
2024-09-13,134.696,135.171,134.609,134.769,13327
2024-09-16,134.769,135.072,134.609,135.02,9799
2024-09-17,135.02,135.382,134.679,134.744,12841
2024-09-18,134.744,134.839,134.109,134.151,21172
2024-09-19,134.151,134.39,133.979,134.276,14543
2024-09-20,134.276,134.511,133.909,134.199,11659
2024-09-23,134.199,134.811,134.014,134.75,14857
2024-09-24,134.75,134.99,134.209,134.889,14006
2024-09-25,134.889,134.96,134.319,134.451,10420
2024-09-26,134.451,135.02,134.379,134.525,13970
2024-09-27,134.525,135.177,134.299,134.986,15026
2024-09-30,134.986,135.12,134.439,134.905,15961
2024-10-01,134.905,136.19,134.899,135.792,19598
2024-10-02,135.792,135.886,135.03,135.176,10901
2024-10-03,135.176,135.231,134.519,134.534,14395
2024-10-04,134.534,134.611,133.629,133.944,17117
2024-10-07,133.944,133.961,133.389,133.569,12499
2024-10-08,133.569,133.741,133.32,133.571,11165
2024-10-09,133.571,133.741,133.159,133.199,11179
2024-10-10,133.199,133.481,132.769,133.454,19096
2024-10-11,133.454,133.48,132.91,133.31,11371
2024-10-14,133.31,133.395,132.989,133.31,7315
2024-10-15,133.31,133.771,133.31,133.736,12563
2024-10-16,133.736,134.239,133.736,134.071,10178
2024-10-17,134.071,134.161,133.709,133.996,13798
2024-10-18,133.996,134.231,133.66,134.12,10260
2024-10-21,134.12,134.165,133.05,133.059,11373
2024-10-22,133.059,133.131,132.569,132.884,13509
2024-10-23,132.884,132.941,132.579,132.756,13159
2024-10-24,132.756,133.521,132.756,133.219,16471
2024-10-25,133.219,133.476,132.759,132.83,11902
2024-10-28,132.83,133.401,132.359,133.064,11971
2024-10-29,133.064,133.181,132.419,132.831,14052
2024-10-30,132.831,133.001,131.479,131.489,21802
2024-10-31,131.489,131.911,131.146,131.689,22331
2024-11-01,131.689,132.181,131.435,131.541,21170
2024-11-04,131.541,131.894,131.249,131.689,14114
2024-11-05,131.689,131.841,131.229,131.786,13963
2024-11-06,131.786,132.211,131.319,131.474,36132
2024-11-07,131.474,131.681,130.669,131.485,25981
2024-11-08,131.485,132.315,131.394,132.301,17550
2024-11-11,132.301,132.599,132.019,132.4,11977
2024-11-12,132.4,132.719,131.671,131.769,18989
2024-11-13,131.769,132.091,131.399,131.566,25017
2024-11-14,131.566,132.351,131.369,132.115,22239
2024-11-15,132.115,132.441,131.769,132.285,25551
2024-11-18,132.285,132.36,131.499,132.051,16808
2024-11-19,132.051,132.971,132.039,132.18,24490
2024-11-20,132.18,132.27,131.689,131.929,15833
2024-11-21,131.929,132.691,131.889,132.334,21739
2024-11-22,132.334,133.311,132.121,133.05,25340
2024-11-25,133.05,133.69,133.05,133.664,18874
2024-11-26,133.664,133.971,133.409,133.88,17795
2024-11-27,133.88,134.311,133.789,134.014,23245
2024-11-28,134.014,134.476,133.975,134.381,13209
2024-11-29,134.381,134.93,134.381,134.881,15776
2024-12-02,134.881,135.452,134.879,135.39,22057
2024-12-03,135.39,135.442,134.929,135.027,14339
2024-12-04,135.027,135.256,134.649,135.215,15515
2024-12-05,135.215,135.217,134.396,134.694,20665
2024-12-06,134.694,136.482,134.694,136.241,16337
2024-12-09,136.241,136.452,135.976,136.002,9933
